frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
10661.46,-4.77,-2.40,-3.32,-1.36,1.36,-0.23,-3.41,-1.96,-2.37
10768.08,-4.85,-2.27,-3.39,-1.31,1.31,-0.25,-3.54,-2.08,-2.59
10875.76,-4.86,-2.08,-3.45,-1.25,1.25,-0.27,-3.61,-2.20,-2.79
10984.52,-4.86,-1.88,-3.52,-1.20,1.20,-0.30,-3.66,-2.32,-2.99
11094.36,-4.79,-1.68,-3.59,-1.14,1.14,-0.32,-3.65,-2.45,-3.11
11205.31,-4.72,-1.49,-3.65,-1.08,1.08,-0.34,-3.64,-2.57,-3.23
11317.36,-4.65,-1.24,-3.72,-1.01,1.01,-0.37,-3.64,-2.70,-3.41
11430.53,-4.57,-0.97,-3.78,-0.95,0.95,-0.40,-3.62,-2.83,-3.60
11544.84,-4.50,-0.72,-3.84,-0.89,0.89,-0.42,-3.61,-2.96,-3.79
11660.29,-4.43,-0.46,-3.90,-0.82,0.82,-0.45,-3.61,-3.08,-3.97
11776.89,-4.36,-0.24,-3.97,-0.75,0.75,-0.48,-3.61,-3.21,-4.12
11894.66,-4.30,-0.06,-4.03,-0.68,0.68,-0.52,-3.62,-3.34,-4.24
12013.60,-4.23,0.16,-4.09,-0.61,0.61,-0.55,-3.62,-3.48,-4.39
12133.74,-4.16,0.38,-4.15,-0.54,0.54,-0.59,-3.62,-3.61,-4.54
12255.08,-4.05,0.62,-4.20,-0.46,0.46,-0.63,-3.59,-3.74,-4.67
12377.63,-3.77,1.04,-4.26,-0.39,0.39,-0.67,-3.38,-3.87,-4.82
12501.41,-3.49,1.43,-4.32,-0.31,0.31,-0.71,-3.18,-4.01,-4.92
12626.42,-3.21,1.81,-4.38,-0.23,0.23,-0.76,-2.98,-4.14,-5.02
12752.68,-2.94,2.18,-4.43,-0.15,0.15,-0.81,-2.79,-4.28,-5.12
12880.21,-2.66,2.59,-4.49,-0.07,0.07,-0.86,-2.59,-4.42,-5.25
13009.01,-2.39,2.98,-4.54,0.01,-0.01,-0.92,-2.40,-4.56,-5.37
13139.10,-2.11,3.38,-4.60,0.10,-0.10,-0.98,-2.21,-4.69,-5.49
13270.49,-1.71,3.89,-4.65,0.18,-0.18,-1.04,-1.90,-4.83,-5.60
13403.20,-1.30,4.38,-4.70,0.27,-0.27,-1.12,-1.57,-4.97,-5.68
13537.23,-0.89,4.86,-4.75,0.36,-0.36,-1.19,-1.25,-5.12,-5.76
13672.60,-0.46,5.40,-4.81,0.45,-0.45,-1.28,-0.91,-5.26,-5.86
13809.33,-0.03,5.93,-4.86,0.54,-0.54,-1.36,-0.58,-5.40,-5.96
13947.42,-0.12,5.95,-4.91,0.64,-0.64,-1.46,-0.76,-5.54,-6.07
14086.90,-0.21,5.96,-4.95,0.73,-0.73,-1.56,-0.94,-5.69,-6.17
14227.77,-0.40,5.88,-5.00,0.83,-0.83,-1.67,-1.23,-5.83,-6.28
14370.04,-0.71,5.64,-5.05,0.93,-0.93,-1.79,-1.64,-5.98,-6.35
14513.74,-1.03,5.41,-5.10,1.03,-1.03,-1.92,-2.06,-6.13,-6.44
14658.88,-1.27,5.26,-5.14,1.13,-1.13,-2.05,-2.40,-6.27,-6.53
14805.47,-1.50,5.13,-5.19,1.23,-1.23,-2.19,-2.73,-6.42,-6.63
14953.52,-1.73,5.01,-5.23,1.34,-1.34,-2.33,-3.07,-6.57,-6.74
15103.06,-1.96,4.89,-5.28,1.44,-1.44,-2.47,-3.41,-6.72,-6.85
15254.09,-2.19,4.75,-5.32,1.55,-1.55,-2.60,-3.74,-6.87,-6.94
15406.63,-2.42,4.60,-5.36,1.66,-1.66,-2.73,-4.08,-7.03,-7.02
15560.70,-2.65,4.45,-5.41,1.77,-1.77,-2.84,-4.42,-7.18,-7.10
15716.30,-2.90,4.32,-5.45,1.88,-1.88,-2.92,-4.78,-7.33,-7.22
15873.47,-3.35,3.99,-5.49,2.00,-2.00,-2.97,-5.35,-7.49,-7.34
16032.20,-3.80,3.67,-5.53,2.11,-2.11,-2.98,-5.91,-7.64,-7.47
16192.52,-4.29,3.31,-5.57,2.23,-2.23,-2.96,-6.52,-7.80,-7.60
16354.45,-4.81,2.90,-5.61,2.35,-2.35,-2.87,-7.16,-7.95,-7.71
16517.99,-5.33,2.48,-5.64,2.47,-2.47,-2.77,-7.80,-8.11,-7.81
16683.17,-5.82,2.10,-5.68,2.59,-2.59,-2.61,-8.41,-8.27,-7.92
16850.01,-6.31,1.75,-5.72,2.71,-2.71,-2.43,-9.02,-8.43,-8.06
17018.51,-6.63,1.57,-5.75,2.83,-2.83,-2.23,-9.47,-8.59,-8.20
17188.69,-6.81,1.54,-5.79,2.96,-2.96,-2.03,-9.77,-8.75,-8.35
17360.58,-7.00,1.48,-5.82,3.09,-3.09,-1.82,-10.09,-8.91,-8.48
17534.18,-7.16,1.42,-5.86,3.22,-3.22,-1.62,-10.38,-9.07,-8.58
17709.53,-7.32,1.36,-5.89,3.35,-3.35,-1.43,-10.67,-9.24,-8.68
17886.62,-7.49,1.36,-5.92,3.48,-3.48,-1.26,-10.97,-9.40,-8.85
18065.49,-7.65,1.35,-5.95,3.61,-3.61,-1.10,-11.26,-9.57,-9.00
18246.14,-7.83,1.33,-5.99,3.75,-3.75,-0.95,-11.58,-9.73,-9.16
18428.60,-8.01,1.29,-6.02,3.88,-3.88,-0.82,-11.89,-9.90,-9.31
18612.89,-8.18,1.26,-6.05,4.02,-4.02,-0.70,-12.20,-10.07,-9.44
18799.02,-8.36,1.26,-6.07,4.16,-4.16,-0.60,-12.52,-10.23,-9.62
18987.01,-8.54,1.28,-6.10,4.30,-4.30,-0.50,-12.84,-10.40,-9.82
19176.88,-8.73,1.29,-6.13,4.44,-4.44,-0.43,-13.18,-10.57,-10.02
19368.65,-8.94,1.34,-6.16,4.59,-4.59,-0.35,-13.53,-10.74,-10.28
19562.33,-9.27,1.53,-6.18,4.73,-4.73,-0.29,-14.00,-10.92,-10.80
19757.96,-9.84,1.32,-6.21,4.88,-4.88,-0.23,-14.72,-11.09,-11.16
19955.54,-11.24,0.26,-6.23,5.03,-5.03,-0.17,-16.27,-11.26,-11.50
